,沪深300
2006-03-16,1025.52
2006-03-17,1021.08
2006-03-20,1019.65
2006-03-21,1036.23
2006-03-22,1036.71
2006-03-23,1042.82
2006-03-24,1041.23
2006-03-27,1037.08
2006-03-28,1048.64
2006-03-29,1057.68
2006-03-30,1055.14
2006-03-31,1050.22
2006-04-03,1061.96
2006-04-04,1076.2
2006-04-05,1089.55
2006-04-06,1097.32
2006-04-07,1091.89
2006-04-10,1100.69
2006-04-11,1112.01
2006-04-12,1116.15
2006-04-13,1093.51
2006-04-14,1091.67
2006-04-17,1114.53
2006-04-18,1119.27
2006-04-19,1125.2
2006-04-20,1127.09
2006-04-21,1127.65
2006-04-24,1135.75
2006-04-25,1123.1
2006-04-26,1142.07
2006-04-27,1145.26
2006-04-28,1133.19
2006-05-08,1179.58
2006-05-09,1222.68
2006-05-10,1243.47
2006-05-11,1254.35
2006-05-12,1252.68
2006-05-15,1301.8
2006-05-16,1322.14
2006-05-17,1306.87
2006-05-18,1301.11
2006-05-19,1329.32
2006-05-22,1360.35
2006-05-23,1316.55
2006-05-24,1277.33
2006-05-25,1285.73
2006-05-26,1309.46
2006-05-29,1330.63
2006-05-30,1360.55
2006-05-31,1355.01
2006-06-01,1362.94
2006-06-02,1382.0
2006-06-05,1362.72
2006-06-06,1391.9
2006-06-07,1319.7
2006-06-08,1286.9
2006-06-09,1293.05
2006-06-12,1275.4
2006-06-13,1284.62
2006-06-14,1269.52
2006-06-15,1280.5
2006-06-16,1290.0
2006-06-19,1294.9
2006-06-20,1323.78
2006-06-21,1320.41
2006-06-22,1326.15
2006-06-23,1319.51
2006-06-26,1341.61
2006-06-27,1354.09
2006-06-28,1353.63
2006-06-29,1365.25
2006-06-30,1384.99
2006-07-03,1393.92
2006-07-04,1401.15
2006-07-05,1377.22
2006-07-06,1390.19
2006-07-07,1405.99
2006-07-10,1397.44
2006-07-11,1406.5
2006-07-12,1416.74
2006-07-13,1344.16
2006-07-14,1327.59
2006-07-17,1348.43
2006-07-18,1359.91
2006-07-19,1330.28
2006-07-20,1329.18
2006-07-21,1344.57
2006-07-24,1327.9
2006-07-25,1359.32
2006-07-26,1367.05
2006-07-27,1347.29
2006-07-28,1327.66
2006-07-31,1293.53
2006-08-01,1278.54
2006-08-02,1258.01
2006-08-03,1261.69
2006-08-04,1239.38
2006-08-07,1221.99
2006-08-08,1225.04
2006-08-09,1245.39
2006-08-10,1251.08
2006-08-11,1265.52
2006-08-14,1241.95
2006-08-15,1239.91
2006-08-16,1262.54
2006-08-17,1263.93
2006-08-18,1265.82
2006-08-21,1229.17
2006-08-22,1269.1
2006-08-23,1282.84
2006-08-24,1274.56
2006-08-25,1292.45
2006-08-28,1298.36
2006-08-29,1327.0
2006-08-30,1319.82
2006-08-31,1331.29
2006-09-01,1314.57
2006-09-04,1315.61
2006-09-05,1334.72
2006-09-06,1331.85
2006-09-07,1323.98
2006-09-08,1326.25
2006-09-11,1319.21
2006-09-12,1337.3
2006-09-13,1337.46
2006-09-14,1323.8
2006-09-15,1338.14
2006-09-18,1362.14
2006-09-19,1371.43
2006-09-20,1365.72
2006-09-21,1378.46
2006-09-22,1373.94
2006-09-25,1361.61
2006-09-26,1351.18
2006-09-27,1355.39
2006-09-28,1369.4
2006-09-29,1389.04
2006-10-09,1418.21
2006-10-10,1426.97
2006-10-11,1421.81
2006-10-12,1423.63
2006-10-13,1420.96
2006-10-16,1415.49
2006-10-17,1410.67
2006-10-18,1413.55
2006-10-19,1433.94
2006-10-20,1436.65
2006-10-23,1403.01
2006-10-24,1408.58
2006-10-25,1434.81
2006-10-26,1435.28
2006-10-27,1433.35
2006-10-30,1428.33
2006-10-31,1447.06
2006-11-01,1461.32
2006-11-02,1464.6
2006-11-03,1480.77
2006-11-06,1472.0
2006-11-07,1491.33
2006-11-08,1497.01
2006-11-09,1489.2
2006-11-10,1493.2
2006-11-13,1465.63
2006-11-14,1453.26
2006-11-15,1490.87
2006-11-16,1531.29
2006-11-17,1521.55
2006-11-20,1567.34
2006-11-21,1568.95
2006-11-22,1600.38
2006-11-23,1618.04
2006-11-24,1611.55
2006-11-27,1627.92
2006-11-28,1629.82
2006-11-29,1604.81
2006-11-30,1671.67
2006-12-01,1715.79
2006-12-04,1731.9
2006-12-05,1777.43
2006-12-06,1717.72
2006-12-07,1770.57
2006-12-08,1710.0
2006-12-11,1705.91
2006-12-12,1772.11
2006-12-13,1779.56
2006-12-14,1805.2
2006-12-15,1832.51
2006-12-18,1875.01
2006-12-19,1882.54
2006-12-20,1893.42
2006-12-21,1905.72
2006-12-22,1880.57
2006-12-25,1898.82
2006-12-26,1914.97
2006-12-27,1939.55
2006-12-28,1964.97
2006-12-29,1991.88
2007-01-04,2054.24
2007-01-05,2030.76
2007-01-08,2071.72
2007-01-09,2128.06
2007-01-10,2194.77
2007-01-11,2224.37
2007-01-12,2159.77
2007-01-15,2170.94
2007-01-16,2297.24
2007-01-17,2266.34
2007-01-18,2240.21
2007-01-19,2320.87
2007-01-22,2424.81
2007-01-23,2415.11
2007-01-24,2489.93
2007-01-25,2449.05
2007-01-26,2356.98
2007-01-29,2521.5
2007-01-30,2531.78
2007-01-31,2367.67
2007-02-01,2310.57
2007-02-02,2293.28
2007-02-05,2247.93
2007-02-06,2198.9
2007-02-07,2330.43
2007-02-08,2354.7
2007-02-09,2376.02
2007-02-12,2396.79
2007-02-13,2489.66
2007-02-14,2520.53
2007-02-15,2607.63
2007-02-16,2660.49
2007-02-26,2641.12
2007-02-27,2454.92
2007-02-28,2413.33
2007-03-01,2439.5
2007-03-02,2455.82
2007-03-05,2409.72
2007-03-06,2452.14
2007-03-07,2532.15
2007-03-08,2565.11
2007-03-09,2587.49
2007-03-12,2563.37
2007-03-13,2605.23
2007-03-14,2546.65
2007-03-15,2595.54
2007-03-16,2576.32
2007-03-19,2523.3
2007-03-20,2645.25
2007-03-21,2666.89
2007-03-22,2702.41
2007-03-23,2653.79
2007-03-26,2713.93
2007-03-27,2753.02
2007-03-28,2689.11
2007-03-29,2782.93
2007-03-30,2753.15
2007-04-02,2793.96
2007-04-03,2852.57
2007-04-04,2875.69
2007-04-05,2895.42
2007-04-06,2911.05
2007-04-09,2988.38
2007-04-10,2993.11
2007-04-11,3059.28
2007-04-12,3114.91
2007-04-13,3154.11
2007-04-16,3177.29
2007-04-17,3182.95
2007-04-18,3244.93
2007-04-19,3065.28
2007-04-20,3165.67
2007-04-23,3330.8
2007-04-24,3418.3
2007-04-25,3376.08
2007-04-26,3438.88
2007-04-27,3436.0
2007-04-30,3478.93
2007-05-08,3618.78
2007-05-09,3556.61
2007-05-10,3671.81
2007-05-11,3629.71
2007-05-14,3620.86
2007-05-15,3600.21
2007-05-16,3557.2
2007-05-17,3705.27
2007-05-18,3746.24
2007-05-21,3643.08
2007-05-22,3849.04
2007-05-23,3853.91
2007-05-24,3858.51
2007-05-25,3888.31
2007-05-28,4027.36
2007-05-29,4079.87
2007-05-30,3849.7
2007-05-31,3683.56
2007-06-01,3780.03
2007-06-04,3503.94
2007-06-05,3246.73
2007-06-06,3550.74
2007-06-07,3684.46
2007-06-08,3769.15
2007-06-11,3870.23
2007-06-12,3834.02
2007-06-13,4064.15
2007-06-14,4022.78
2007-06-15,4025.1
2007-06-18,4177.19
2007-06-19,4186.18
2007-06-20,4138.33
2007-06-21,4110.96
2007-06-22,3970.35
2007-06-25,3850.84
2007-06-26,3752.93
2007-06-27,3912.2
2007-06-28,3857.85
2007-06-29,3718.16
2007-07-02,3644.19
2007-07-03,3744.01
2007-07-04,3727.56
2007-07-05,3535.04
2007-07-06,3475.27
2007-07-09,3722.23
2007-07-10,3764.25
2007-07-11,3732.29
2007-07-12,3780.03
2007-07-13,3773.93
2007-07-16,3697.22
2007-07-17,3650.25
2007-07-18,3756.7
2007-07-19,3778.51
2007-07-20,3808.08
2007-07-23,4009.06
2007-07-24,4143.59
2007-07-25,4163.35
2007-07-26,4244.08
2007-07-27,4225.03
2007-07-30,4303.73
2007-07-31,4359.59
2007-08-01,4271.06
2007-08-02,4303.98
2007-08-03,4472.89
2007-08-06,4623.49
2007-08-07,4634.87
2007-08-08,4579.4
2007-08-09,4666.2
2007-08-10,4631.04
2007-08-13,4663.2
2007-08-14,4704.15
2007-08-15,4697.97
2007-08-16,4665.21
2007-08-17,4616.97
2007-08-20,4747.27
2007-08-21,4909.84
2007-08-22,4887.14
2007-08-23,5028.12
2007-08-24,5158.03
2007-08-27,5191.28
2007-08-28,5136.61
2007-08-29,5138.34
2007-08-30,5176.0
2007-08-31,5219.99
2007-09-03,5335.05
2007-09-04,5333.49
2007-09-05,5265.06
2007-09-06,5365.5
2007-09-07,5284.65
2007-09-10,5182.1
2007-09-11,5104.35
2007-09-12,5059.46
2007-09-13,5212.03
2007-09-14,5274.22
2007-09-17,5387.68
2007-09-18,5405.18
2007-09-19,5385.42
2007-09-20,5430.31
2007-09-21,5357.5
2007-09-24,5400.68
2007-09-25,5423.52
2007-09-26,5338.31
2007-09-27,5338.04
2007-09-28,5479.85
2007-10-08,5617.1
2007-10-09,5582.77
2007-10-10,5653.79
2007-10-11,5650.1
2007-10-12,5485.56
2007-10-15,5690.07
2007-10-16,5815.61
2007-10-17,5797.61
2007-10-18,5593.99
2007-10-19,5563.78
2007-10-22,5465.85
2007-10-23,5373.05
2007-10-24,5553.33
2007-10-25,5312.85
2007-10-26,5266.37
2007-10-29,5428.68
2007-10-30,5467.52
2007-10-31,5590.54
2007-11-01,5604.79
2007-11-02,5448.99
2007-11-05,5333.38
2007-11-06,5295.79
2007-11-07,5231.61
2007-11-08,5090.96
2007-11-09,4962.3
2007-11-12,4795.43
2007-11-13,4866.16
2007-11-14,4924.82
2007-11-15,5069.52
2007-11-16,4917.49
2007-11-19,4968.73
2007-11-20,4916.47
2007-11-21,4993.29
2007-11-22,4759.91
2007-11-23,4711.79
2007-11-26,4795.35
2007-11-27,4708.8
2007-11-28,4619.51
2007-11-29,4637.48
2007-11-30,4723.79
2007-12-03,4689.52
2007-12-04,4786.64
2007-12-05,4815.61
2007-12-06,4928.13
2007-12-07,4977.87
2007-12-10,4944.83
2007-12-11,5068.03
2007-12-12,5033.72
2007-12-13,4881.34
2007-12-14,4800.24
2007-12-17,4855.17
2007-12-18,4799.0
2007-12-19,4865.35
2007-12-20,4935.4
2007-12-21,5014.7
2007-12-24,5129.6
2007-12-25,5180.59
2007-12-26,5194.75
2007-12-27,5260.1
2007-12-28,5323.82
2008-01-02,5283.45
2008-01-03,5315.95
2008-01-04,5422.46
2008-01-07,5455.5
2008-01-08,5485.23
2008-01-09,5490.31
2008-01-10,5602.59
2008-01-11,5629.64
2008-01-14,5679.29
2008-01-15,5652.04
2008-01-16,5498.39
2008-01-17,5226.64
2008-01-18,5307.5
2008-01-21,5122.46
2008-01-22,4708.39
2008-01-23,4751.5
2008-01-24,4926.37
2008-01-25,4966.52
2008-01-28,4711.28
2008-01-29,4688.73
2008-01-30,4606.14
2008-01-31,4614.28
2008-02-01,4414.12
2008-02-04,4695.55
2008-02-05,4878.12
2008-02-13,4785.8
2008-02-14,4842.85
2008-02-15,4742.1
2008-02-18,4845.31
2008-02-19,4885.69
2008-02-20,4901.66
2008-02-21,4796.1
2008-02-22,4649.81
2008-02-25,4510.69
2008-02-26,4394.59
2008-02-27,4500.89
2008-02-28,4582.82
2008-02-29,4597.63
2008-03-03,4611.7
2008-03-04,4657.38
2008-03-05,4519.74
2008-03-06,4592.62
2008-03-07,4597.01
2008-03-10,4406.23
2008-03-11,4315.18
2008-03-12,4308.35
2008-03-13,4121.27
2008-03-14,4092.79
2008-03-17,3958.29
2008-03-18,3700.35
2008-03-19,3776.3
2008-03-20,3658.04
2008-03-21,3958.97
2008-03-24,3857.09
2008-03-25,3747.02
2008-03-26,3888.02
2008-03-27,3745.88
2008-03-28,3661.38
2008-03-31,3780.12
2008-04-01,3566.21
2008-04-02,3493.18
2008-04-03,3457.62
2008-04-07,3578.38
2008-04-08,3820.1
2008-04-09,3687.6
2008-04-10,3608.32
2008-04-11,3755.01
2008-04-14,3525.19
2008-04-15,3417.25
2008-04-16,3483.19
2008-04-17,3340.88
2008-04-18,3248.53
2008-04-21,3223.89
2008-04-22,3122.39
2008-04-23,3245.3
2008-04-24,3659.73
2008-04-25,3737.98
2008-04-28,3711.19
2008-04-29,3702.02
2008-04-30,3793.85
2008-05-05,3972.56
2008-05-06,3961.34
2008-05-07,3821.11
2008-05-08,3761.28
2008-05-09,3806.52
2008-05-12,3766.58
2008-05-13,3778.72
2008-05-14,3843.47
2008-05-15,3948.06
2008-05-16,3882.9
2008-05-19,3865.5
2008-05-20,3698.55
2008-05-21,3591.57
2008-05-22,3704.16
2008-05-23,3629.01
2008-05-26,3555.76
2008-05-27,3533.47
2008-05-28,3561.73
2008-05-29,3578.73
2008-05-30,3552.66
2008-06-02,3580.58
2008-06-03,3585.12
2008-06-04,3513.64
2008-06-05,3487.79
2008-06-06,3470.56
2008-06-10,3188.8
2008-06-11,3097.4
2008-06-12,3022.88
2008-06-13,2975.66
2008-06-16,2900.07
2008-06-17,2820.64
2008-06-18,2759.11
2008-06-19,2768.23
2008-06-20,2691.87
2008-06-23,2771.36
2008-06-24,2770.99
2008-06-25,2834.95
2008-06-26,2922.79
2008-06-27,2787.25
2008-06-30,2747.61
2008-07-01,2690.18
2008-07-02,2670.06
2008-07-03,2617.26
2008-07-04,2716.02
2008-07-07,2747.61
2008-07-08,2841.07
2008-07-09,2927.0
2008-07-10,2950.2
2008-07-11,2913.87
2008-07-14,2917.02
2008-07-15,2849.2
2008-07-16,2702.66
2008-07-17,2705.81
2008-07-18,2690.07
2008-07-21,2780.28
2008-07-22,2890.25
2008-07-23,2879.19
2008-07-24,2902.98
2008-07-25,2916.68
2008-07-28,2946.49
2008-07-29,2881.05
2008-07-30,2866.03
2008-07-31,2804.7
2008-08-01,2748.75
2008-08-04,2767.53
2008-08-05,2695.37
2008-08-06,2679.66
2008-08-07,2683.41
2008-08-08,2581.81
2008-08-11,2442.79
2008-08-12,2413.6
2008-08-13,2369.58
2008-08-14,2410.49
2008-08-15,2412.95
2008-08-18,2312.95
2008-08-19,2273.89
2008-08-20,2312.18
2008-08-21,2438.86
2008-08-22,2362.63
2008-08-25,2373.76
2008-08-26,2306.94
2008-08-27,2291.35
2008-08-28,2316.68
2008-08-29,2339.52
2008-09-01,2297.02
2008-09-02,2268.0
2008-09-03,2219.56
2008-09-04,2216.11
2008-09-05,2172.94
2008-09-08,2119.12
2008-09-09,2111.4
2008-09-10,2099.23
2008-09-11,2067.25
2008-09-12,2066.44
2008-09-16,1987.3
2008-09-17,1923.55
2008-09-18,1804.77
2008-09-19,2046.22
2008-09-22,2130.31
2008-09-23,2118.92
2008-09-24,2050.97
2008-09-25,2139.62
2008-09-26,2192.13
2008-10-06,2128.27
2008-10-07,2024.65
2008-10-08,2000.52
2008-10-09,1993.01
2008-10-10,1881.67
2008-10-13,1841.53
2008-10-14,1934.46
2008-10-15,1892.02
2008-10-16,1818.93
2008-10-17,1805.67
2008-10-20,1802.09
2008-10-21,1880.52
2008-10-22,1832.45
2008-10-23,1779.13
2008-10-24,1769.11
2008-10-27,1652.79
2008-10-28,1607.67
2008-10-29,1657.65
2008-10-30,1646.34
2008-10-31,1655.09
2008-11-03,1643.42
2008-11-04,1606.73
2008-11-05,1641.26
2008-11-06,1638.34
2008-11-07,1612.74
2008-11-10,1714.12
2008-11-11,1778.33
2008-11-12,1754.29
2008-11-13,1765.64
2008-11-14,1874.93
2008-11-17,1919.97
2008-11-18,1831.76
2008-11-19,1823.27
2008-11-20,1900.27
2008-11-21,1835.09
2008-11-24,1835.86
2008-11-25,1801.56
2008-11-26,1815.02
2008-11-27,1870.05
2008-11-28,1815.45
2008-12-01,1799.84
2008-12-02,1814.9
2008-12-03,1884.6
2008-12-04,1978.14
2008-12-05,1965.09
2008-12-08,2033.98
2008-12-09,2038.07
2008-12-10,2014.28
2008-12-11,2043.62
2008-12-12,1936.28
2008-12-15,1941.05
2008-12-16,1919.87
2008-12-17,1995.65
2008-12-18,1982.43
2008-12-19,2033.11
2008-12-22,1993.33
2008-12-23,1918.43
2008-12-24,1872.65
2008-12-25,1848.71
2008-12-26,1850.5
2008-12-29,1816.06
2008-12-30,1824.53
2008-12-31,1813.73
2009-01-05,1837.84
2009-01-06,1873.01
2009-01-07,1930.87
2009-01-08,1873.65
2009-01-09,1886.49
2009-01-12,1905.62
2009-01-13,1874.97
2009-01-14,1873.63
2009-01-15,1930.3
2009-01-16,1965.44
2009-01-19,1993.95
2009-01-20,1986.06
2009-01-21,1988.24
2009-01-22,2012.74
2009-01-23,2025.19
2009-02-02,2029.72
2009-02-03,2049.89
2009-02-04,2117.02
2009-02-05,2135.67
2009-02-06,2158.08
2009-02-09,2257.49
2009-02-10,2263.53
2009-02-11,2275.57
2009-02-12,2248.48
2009-02-13,2307.09
2009-02-16,2397.18
2009-02-17,2384.79
2009-02-18,2272.5
2009-02-19,2259.59
2009-02-20,2276.3
2009-02-23,2307.92
2009-02-24,2294.52
2009-02-25,2226.44
2009-02-26,2167.15
2009-02-27,2117.06
2009-03-02,2112.34
2009-03-03,2100.64
2009-03-04,2150.24
2009-03-05,2259.8
2009-03-06,2255.82
2009-03-09,2198.54
2009-03-10,2168.32
2009-03-11,2212.88
2009-03-12,2156.6
2009-03-13,2200.97
2009-03-16,2180.05
2009-03-17,2239.67
2009-03-18,2328.86
2009-03-19,2331.26
2009-03-20,2343.27
2009-03-23,2375.52
2009-03-24,2440.53
2009-03-25,2401.05
2009-03-26,2379.95
2009-03-27,2481.69
2009-03-30,2471.37
2009-03-31,2423.57
2009-04-01,2519.89
