,沪深300
2006-01-09,24329552.0
2006-01-10,22735302.0
2006-01-11,26524138.0
2006-01-12,21896680.0
2006-01-13,22281860.0
2006-01-16,20305216.0
2006-01-17,16037276.0
2006-01-18,20823518.0
2006-01-19,26455608.0
2006-01-20,26147062.0
2006-01-23,22546020.0
2006-01-24,24197992.0
2006-01-25,21800758.0
2006-02-06,25038772.0
2006-02-07,32954788.0
2006-02-08,26986728.0
2006-02-09,23839600.0
2006-02-10,22024452.0
2006-02-13,22157298.0
2006-02-14,18556220.0
2006-02-15,24784628.0
2006-02-16,26159892.0
2006-02-17,21026876.0
2006-02-20,18818884.0
2006-02-21,23678040.0
2006-02-22,25380704.0
2006-02-23,19785036.0
2006-02-24,19676104.0
2006-02-27,22872100.0
2006-02-28,19353268.0
2006-03-01,19425730.0
2006-03-02,24877860.0
2006-03-03,21200540.0
2006-03-06,17870964.0
2006-03-07,19336516.0
2006-03-08,17463056.0
2006-03-09,12735099.0
2006-03-10,11887983.0
2006-03-13,11765911.0
2006-03-14,11348030.0
2006-03-15,14842068.0
2006-03-16,14784339.0
2006-03-17,15001924.0
2006-03-20,15389912.0
2006-03-21,19077662.0
2006-03-22,18640576.0
2006-03-23,20467884.0
2006-03-24,20098236.0
2006-03-27,17134070.0
2006-03-28,22274000.0
2006-03-29,30526344.0
2006-03-30,22012494.0
2006-03-31,22276190.0
2006-04-03,27729760.0
2006-04-04,31148756.0
2006-04-05,32936914.0
2006-04-06,36167048.0
2006-04-07,32570860.0
2006-04-10,32067520.0
2006-04-11,35607520.0
2006-04-12,30333844.0
2006-04-13,33824144.0
2006-04-14,33527962.0
2006-04-17,35704548.0
2006-04-18,32317224.0
2006-04-19,34322896.0
2006-04-20,37885652.0
2006-04-21,40772912.0
2006-04-24,45936220.0
2006-04-25,38611124.0
2006-04-26,41824300.0
2006-04-27,31980452.0
2006-04-28,40801856.0
2006-05-08,44912820.0
2006-05-09,55993860.0
2006-05-10,55667044.0
2006-05-11,61133724.0
2006-05-12,54920332.0
2006-05-15,73534008.0
2006-05-16,79658168.0
2006-05-17,61823288.0
2006-05-18,52056364.0
2006-05-19,67123872.0
2006-05-22,66262172.0
2006-05-23,56872388.0
2006-05-24,51176632.0
2006-05-25,34046436.0
2006-05-26,36385664.0
2006-05-29,44480012.0
2006-05-30,44761028.0
2006-05-31,47335884.0
2006-06-01,53493452.0
2006-06-02,64109160.0
2006-06-05,55101820.0
2006-06-06,46835280.0
2006-06-07,52047648.0
2006-06-08,45677508.0
2006-06-09,37392624.0
2006-06-12,25033332.0
2006-06-13,27823032.0
2006-06-14,28801660.0
2006-06-15,23241302.0
2006-06-16,28408032.0
2006-06-19,30726258.0
2006-06-20,27797058.0
2006-06-21,32445480.0
2006-06-22,25953156.0
2006-06-23,25651644.0
2006-06-26,29595920.0
2006-06-27,26454734.0
2006-06-28,25791656.0
2006-06-29,42439200.0
2006-06-30,38396744.0
2006-07-03,38297384.0
2006-07-04,42749804.0
2006-07-05,33446004.0
2006-07-06,32480734.0
2006-07-07,33556176.0
2006-07-10,27607368.0
2006-07-11,28537380.0
2006-07-12,36293416.0
2006-07-13,48970672.0
2006-07-14,32659104.0
2006-07-17,24205552.0
2006-07-18,22724544.0
2006-07-19,25227648.0
2006-07-20,18450620.0
2006-07-21,20393648.0
2006-07-24,19966190.0
2006-07-25,22023508.0
2006-07-26,19633442.0
2006-07-27,23818756.0
2006-07-28,21557504.0
2006-07-31,22181212.0
2006-08-01,17443888.0
2006-08-02,17813284.0
2006-08-03,12940473.0
2006-08-04,16053628.0
2006-08-07,15116519.0
2006-08-08,14250481.0
2006-08-09,12859474.0
2006-08-10,17699006.0
2006-08-11,15303227.0
2006-08-14,16444469.0
2006-08-15,14319360.0
2006-08-16,20802744.0
2006-08-17,15457904.0
2006-08-18,13964524.0
2006-08-21,15064766.0
2006-08-22,17200942.0
2006-08-23,19092876.0
2006-08-24,15081306.0
2006-08-25,18557936.0
2006-08-28,26183290.0
2006-08-29,31766376.0
2006-08-30,21139948.0
2006-08-31,23188274.0
2006-09-01,25033688.0
2006-09-04,21095340.0
2006-09-05,26868110.0
2006-09-06,23153112.0
2006-09-07,21886448.0
2006-09-08,17230272.0
2006-09-11,20947266.0
2006-09-12,27301892.0
2006-09-13,32821192.0
2006-09-14,22217284.0
2006-09-15,36057148.0
2006-09-18,31454852.0
2006-09-19,26648300.0
2006-09-20,23445880.0
2006-09-21,26094120.0
2006-09-22,28265042.0
2006-09-25,24584780.0
2006-09-26,19703278.0
2006-09-27,17580324.0
2006-09-28,21687792.0
2006-09-29,27166742.0
2006-10-09,39191864.0
2006-10-10,38400488.0
2006-10-11,31617988.0
2006-10-12,37956236.0
2006-10-13,28295156.0
2006-10-16,28492186.0
2006-10-17,24224404.0
2006-10-18,24290308.0
2006-10-19,23820268.0
2006-10-20,26560144.0
2006-10-23,28950376.0
2006-10-24,26189972.0
2006-10-25,32204896.0
2006-10-26,38466360.0
2006-10-27,37379304.0
2006-10-30,35320452.0
2006-10-31,36952284.0
2006-11-01,38926924.0
2006-11-02,42373136.0
2006-11-03,39372028.0
